search_term,uniprot_accession,gene_name,description,ec_number,synonyms,location,keywords,go_terms,family,zinc_link,cansar_link,nearest_drug_target,matching_drug_target_50,matching_drug_target_35,number_of_3d_structure,number_of_3d_structure_with_small_molecule_ligand,number_of_3d_structure_with_druggability,number_of_3d_structure_druggable,percentage_of_3d_structure_druggable,number_of_3d_structure_tractable,percentage_of_3d_structure_tractable,ligand_druggability_score,ligand_druggability_percentile_rank,matching_protein_variants,screened_compounds,screened_compounds_active,screened_compounds_active_ro5,screened_fragments,screened_fragments_active,screened_fragments_active_ro5,most_prevalent_mutation,most_prevalent_cnv,highest_expressing_celllines
,P54821,PRRX1,"Paired mesoderm homeobox protein 1",,"PRRX1_HUMAN, PRRX1, PMX1",Nucleus,"P54821 PRRX1_HUMAN Paired mesoderm homeobox protein 1 P54821,B5BUM7,O60807 Homeobox protein PHOX1, Paired-related homeobox protein 1 PMX1","cytosol, nuclear chromatin, nucleoplasm","paired homeobox family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=PRRX1_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P54821/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,Q99811,PRRX2,"Paired mesoderm homeobox protein 2",,"PRRX2_HUMAN, PRRX2, PMX2, PRX2",Nucleus,"Q99811 PRRX2_HUMAN Paired mesoderm homeobox protein 2 Q99811,Q5SZB5,Q9UIB3 Paired-related homeobox protein 2 PMX2, PRX2","nuclear chromatin","paired homeobox family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=PRRX2_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q99811/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,P10276,RARA,"Retinoic acid receptor alpha",,"RARA_HUMAN, RARA, NR1B1","Nucleus, Cytoplasm","P10276 RARA_HUMAN Retinoic acid receptor alpha P10276,B8Y636,P78456,Q13440,Q13441,Q96S41,Q9NQS0 Nuclear receptor subfamily 1 group B member 1 NR1B1","actin cytoskeleton, cell surface, cytoplasm, cytosol, dendrite, nuclear chromatin, nucleoplasm, nucleus, perinuclear region of cytoplasm, protein-containing complex","nuclear hormone receptor family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=RARA_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P10276/,"100.00|P10276|RARA|to be filled in,to be filled in,to be filled in|Whole:::Protein","100.00|P10276|RARA|to be filled in,to be filled in,to be filled in|Whole:::Protein||83.84|P13631|RARG|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||82.12|P10826|RARB|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein","100.00|P10276|RARA|to be filled in,to be filled in,to be filled in|Whole:::Protein||83.84|P13631|RARG|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||82.12|P10826|RARB|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||37.46|P10827|THRA|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||37.36|P10828|THRB|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein",8,6,8,3,38,7,88,0.75,88,1,643,113,15,178,43,10,,,
,Q06330,RBPJ,"Recombining binding protein suppressor of hairless",,"SUH_HUMAN, RBPJ, IGKJRB, IGKJRB1, RBPJK, RBPSUH","Nucleus, Cytoplasm","Q06330 SUH_HUMAN Recombining binding protein suppressor of hairless Q06330,B4DY22,Q5XKH9,Q6P1N3 CBF-1, J kappa-recombination signal-binding protein, RBP-J kappa, Renal carcinoma antigen NY-REN-30 IGKJRB, IGKJRB1, RBPJK, RBPSUH","cytoplasm, maml1-rbp-jkappa- icn1 complex, nuclear chromatin, nucleolus, nucleoplasm, nucleus, transcription regulator complex, transcription repressor complex","Su(H) family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=SUH_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q06330/,,,,4,0,4,4,100,4,100,-3,59,1,29,28,2,3,3,1,,,
,Q01201,RELB,"Transcription factor RelB",,"RELB_HUMAN, RELB","Nucleus, Cytoplasm, Cytoskeleton, Microtubule organizing center, Centrosome","Q01201 RELB_HUMAN Transcription factor RelB Q01201,Q6GTX7,Q9UEI7 I-Rel ","cytosol, microtubule organizing center, nuclear chromatin, nucleoplasm, nucleus, protein-containing complex, transcription repressor complex",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=RELB_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q01201/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,Q13127,REST,"RE1-silencing transcription factor",,"REST_HUMAN, REST, NRSF, XBR","Nucleus, Cytoplasm, Cytoplasm, Nucleus, Cytoplasm","Q13127 REST_HUMAN RE1-silencing transcription factor Q13127,A2RUE0,B9EGJ0,Q12956,Q12957,Q13134,Q59ER1,Q8IWI3 Neural-restrictive silencer factor, X2 box repressor NRSF, XBR","cytoplasm, cytosol, nucleoplasm, nucleus, transcription repressor complex",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=REST_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q13127/,,,,3,0,0,0,0,0,0,-3,59,,,,,,,,,,
,P22670,RFX1,"MHC class II regulatory factor RFX1",,"RFX1_HUMAN, RFX1",Nucleus,"P22670 RFX1_HUMAN MHC class II regulatory factor RFX1 P22670 Enhancer factor C, Regulatory factor X 1, Transcription factor RFX1 ","intracellular membrane-bounded organelle, nuclear chromatin, nucleoplasm, nucleus","RFX family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=RFX1_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P22670/,,,,1,0,1,0,0,0,0,-3,59,,,,,,,,,,
,P48380,RFX3,"Transcription factor RFX3",,"RFX3_HUMAN, RFX3",Nucleus,"P48380 RFX3_HUMAN Transcription factor RFX3 P48380,A8K0H5,D3DRH8,D3DRH9,Q5JTL7,Q5JTL8,Q6NW13,Q8WTU4,Q95HL5,Q95HL6 Regulatory factor X 3 ","extracellular region, nuclear chromatin, nucleus, transcription regulator complex","RFX family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=RFX3_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P48380/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,P48382,RFX5,"DNA-binding protein RFX5",,"RFX5_HUMAN, RFX5",Nucleus,"P48382 RFX5_HUMAN DNA-binding protein RFX5 P48382,B7Z848,D3DV19,E9PFU4,Q5VWC3 Regulatory factor X 5 ","nuclear chromatin, nucleus, transcription regulator complex","RFX family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=RFX5_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P48382/,,,,2,0,1,0,0,0,0,-3,59,,,,,,,,,,
,Q92766,RREB1,"Ras-responsive element-binding protein 1",,"RREB1_HUMAN, RREB1, FINB","Nucleus speckle","Q92766 RREB1_HUMAN Ras-responsive element-binding protein 1 Q92766,A2RRF5,E2GM80,E2GM81,O75567,O75568,Q5VYB2,Q6BEP5,Q6BEP6,Q6BEP8,Q86SU2,Q9Y474 Finger protein in nuclear bodies, Raf-responsive zinc finger protein LZ321, Zinc finger motif enhancer-binding protein 1 FINB","cytoplasm, extracellular exosome, fibrillar center, nuclear body, nuclear speck, nucleus","krueppel C2H2-type zinc-finger protein family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=RREB1_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q92766/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,Q01196,RUNX1,"Runt-related transcription factor 1",,"RUNX1_HUMAN, RUNX1, AML1, CBFA2",Nucleus,"Q01196 RUNX1_HUMAN Runt-related transcription factor 1 Q01196,A8MV94,B2RMS4,D3DSG1,O60472,O60473,O76047,O76089,Q13081,Q13755,Q13756,Q13757,Q13758,Q13759,Q15341,Q15343,Q16122,Q16284,Q16285,Q16286,Q16346,Q16347,Q92479 Acute myeloid leukemia 1 protein, Core-binding factor subunit alpha-2, Oncogene AML-1, Polyomavirus enhancer-binding protein 2 alpha B subunit, SL3-3 enhancer factor 1 alpha B subunit, SL3/AKV core-binding factor alpha B subunit AML1, CBFA2","core-binding factor complex, intracellular membrane-bounded organelle, nuclear chromatin, nucleoplasm, nucleus",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=RUNX1_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q01196/,,,,12,0,12,0,0,5,42,-1.45,64,,,,,,,,,,
,P19793,RXRA,"Retinoic acid receptor RXR-alpha",,"RXRA_HUMAN, RXRA, NR2B1","Nucleus, Cytoplasm, Mitochondrion","P19793 RXRA_HUMAN Retinoic acid receptor RXR-alpha P19793,B3KY83,Q2NL52,Q2V504 Nuclear receptor subfamily 2 group B member 1, Retinoid X receptor alpha NR2B1","mitochondrion, nuclear chromatin, nucleoplasm, nucleus, receptor complex, rna polymerase ii transcription regulator complex","nuclear hormone receptor family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=RXRA_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P19793/,"100.00|P19793|RXRA|to be filled in,to be filled in,to be filled in|Whole:::Protein","100.00|P19793|RXRA|to be filled in,to be filled in,to be filled in|Whole:::Protein||75.62|P28702|RXRB|to be filled in,to be filled in|Whole:::Protein||72.99|P48443|RXRG|to be filled in,to be filled in|Whole:::Protein","100.00|P19793|RXRA|to be filled in,to be filled in,to be filled in|Whole:::Protein||75.62|P28702|RXRB|to be filled in,to be filled in|Whole:::Protein||72.99|P48443|RXRG|to be filled in,to be filled in|Whole:::Protein||40.59|P11473|VDR|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein",98,81,98,61,63,87,89,0.9,89,1,1614,510,295,256,66,17,,,
,P28702,RXRB,"Retinoic acid receptor RXR-beta",,"RXRB_HUMAN, RXRB, NR2B2","Nucleus, Cytoplasm","P28702 RXRB_HUMAN Retinoic acid receptor RXR-beta P28702,P28703,Q59G65,Q5JP92,Q5STQ1 Nuclear receptor subfamily 2 group B member 2, Retinoid X receptor beta NR2B2","cytoplasm, nuclear chromatin, nucleoplasm, nucleus, rna polymerase ii transcription regulator complex","nuclear hormone receptor family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=RXRB_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P28702/,"100.00|P28702|RXRB|to be filled in,to be filled in|Whole:::Protein","100.00|P28702|RXRB|to be filled in,to be filled in|Whole:::Protein||100.00|P28702|RXRB|to be filled in,to be filled in|Whole:::Protein||80.56|P19793|RXRA|to be filled in,to be filled in,to be filled in|Whole:::Protein||77.16|P48443|RXRG|to be filled in,to be filled in|Whole:::Protein||58.33|P37231|PPARG|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||55.56|Q07869|PPARA|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||52.00|Q96RI1|NR1H4|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein","100.00|P28702|RXRB|to be filled in,to be filled in|Whole:::Protein||100.00|P28702|RXRB|to be filled in,to be filled in|Whole:::Protein||80.56|P19793|RXRA|to be filled in,to be filled in,to be filled in|Whole:::Protein||77.16|P48443|RXRG|to be filled in,to be filled in|Whole:::Protein||58.33|P37231|PPARG|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||55.56|Q07869|PPARA|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||52.00|Q96RI1|NR1H4|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||43.21|P11473|VDR|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein",7,3,7,5,72,7,100,1.4,94,1,290,59,0,96,14,0,,,
,Q15796,SMAD2,"Mothers against decapentaplegic homolog 2",,"SMAD2_HUMAN, SMAD2, MADH2, MADR2","Cytoplasm, Nucleus","Q15796 SMAD2_HUMAN Mothers against decapentaplegic homolog 2 Q15796 JV18-1, Mad-related protein 2, SMAD family member 2 MADH2, MADR2","activin responsive factor complex, cytoplasm, cytosol, heteromeric smad protein complex, nuclear chromatin, nucleoplasm, nucleus, protein-containing complex, smad protein complex, transcription regulator complex","dwarfin/SMAD family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=SMAD2_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q15796/,,,,8,0,7,1,15,7,100,-3,59,1,9,0,0,8,0,0,,,
,P84022,SMAD3,"Mothers against decapentaplegic homolog 3",,"SMAD3_HUMAN, SMAD3, MADH3","Cytoplasm, Nucleus","P84022 SMAD3_HUMAN Mothers against decapentaplegic homolog 3 P84022,A8K4B6,B7Z4Z5,B7Z6M9,B7Z9Q2,F5H383,O09064,O09144,O14510,O35273,Q92940,Q93002,Q9GKR4 JV15-2, SMAD family member 3 MADH3","cytoplasm, cytosol, heteromeric smad protein complex, nuclear chromatin, nuclear inner membrane, nucleoplasm, nucleus, plasma membrane, receptor complex, smad protein complex, transcription regulator complex","dwarfin/SMAD family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=SMAD3_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P84022/,,,,11,1,9,1,12,7,78,-3,59,1,7,0,0,6,0,0,,,
,Q13485,SMAD4,"Mothers against decapentaplegic homolog 4",,"SMAD4_HUMAN, SMAD4, DPC4, MADH4","Cytoplasm, Nucleus","Q13485 SMAD4_HUMAN Mothers against decapentaplegic homolog 4 Q13485,A8K405 Deletion target in pancreatic carcinoma 4, SMAD family member 4 DPC4, MADH4","activin responsive factor complex, centrosome, cytoplasm, cytosol, heteromeric smad protein complex, nuclear chromatin, nucleoplasm, nucleus, smad protein complex, transcription regulator complex","dwarfin/SMAD family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=SMAD4_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q13485/,,,,12,0,11,3,28,10,91,-3,59,,,,,,,,,,
,Q06945,SOX4,"Transcription factor SOX-4",,"SOX4_HUMAN, SOX4",Nucleus,"Q06945 SOX4_HUMAN Transcription factor SOX-4 Q06945  ","cytoplasm, mitochondrion, nuclear chromatin, nucleoplasm, nucleus, transcription regulator complex",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=SOX4_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q06945/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,P08047,SP1,"Transcription factor Sp1",,"SP1_HUMAN, SP1, TSFP1","Nucleus, Cytoplasm","P08047 SP1_HUMAN Transcription factor Sp1 P08047,E4Z9M7,G5E9M8,Q86TN8,Q9H3Q5,Q9NR51,Q9NY21,Q9NYE7  TSFP1","cytoplasm, nuclear chromatin, nuclear euchromatin, nucleoplasm, nucleus, protein-dna complex, transcription repressor complex","Sp1 C2H2-type zinc-finger protein family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=SP1_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P08047/,,,,11,6,9,0,0,1,12,-3,59,1,37,0,0,15,0,0,,,
,Q02086,SP2,"Transcription factor Sp2",,"SP2_HUMAN, SP2, KIAA0048",Nucleus,"Q02086 SP2_HUMAN Transcription factor Sp2 Q02086,A6NK74  KIAA0048","nuclear chromatin, nucleoplasm","Sp1 C2H2-type zinc-finger protein family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=SP2_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q02086/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,Q02447,SP3,"Transcription factor Sp3",,"SP3_HUMAN, SP3","Nucleus, Nucleus, PML body","Q02447 SP3_HUMAN Transcription factor Sp3 Q02447,A0AVL9,B4E2B7,Q69B26,Q69B27,Q8TD56,Q8WWU4,Q9BQR1 SPR-2 ","nuclear chromatin, nucleoplasm, nucleus, pml body, protein-dna complex, transcription repressor complex","Sp1 C2H2-type zinc-finger protein family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=SP3_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q02447/,,,,0,0,0,0,0,0,0,-0.4,75,,,,,,,,,,
,P36956,SREBF1,"Sterol regulatory element-binding protein 1",,"SRBP1_HUMAN, SREBF1, BHLHD1, SREBP1","Endoplasmic reticulum membrane, Golgi apparatus membrane, Cytoplasmic vesicle, COPII-coated vesicle membrane, Nucleus, Nucleus, Nucleus","P36956 SRBP1_HUMAN Sterol regulatory element-binding protein 1 P36956,B0I4X3,B0I4X4,D3DXC4,Q16062,Q59F52,Q6P4R7,Q6PFW7,Q6PJ36,Q8TAK9 Class D basic helix-loop-helix protein 1, Sterol regulatory element-binding transcription factor 1 BHLHD1, SREBP1","cytoplasm, cytosol, endoplasmic reticulum, endoplasmic reticulum membrane, er to golgi transport vesicle membrane, golgi membrane, integral component of membrane, nuclear chromatin, nuclear envelope, nucleoplasm, nucleus, protein-containing complex","SREBP family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=SRBP1_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P36956/,,,,1,0,1,0,0,0,0,-3,59,,,,,,,,,,
,Q12772,SREBF2,"Sterol regulatory element-binding protein 2",,"SRBP2_HUMAN, SREBF2, BHLHD2, SREBP2","Endoplasmic reticulum membrane, Golgi apparatus membrane, Cytoplasmic vesicle, COPII-coated vesicle membrane, Nucleus","Q12772 SRBP2_HUMAN Sterol regulatory element-binding protein 2 Q12772,Q05BD5,Q6GTH7,Q86V36,Q9UH04 Class D basic helix-loop-helix protein 2, Sterol regulatory element-binding transcription factor 2 BHLHD2, SREBP2","cytoplasm, cytosol, endoplasmic reticulum, endoplasmic reticulum membrane, er to golgi transport vesicle membrane, golgi membrane, intracellular membrane-bounded organelle, nuclear chromatin, nucleoplasm, nucleus, srebp-scap-insig complex","SREBP family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=SRBP2_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q12772/,,,,1,0,1,0,0,0,0,0.85,89,1,31,0,0,12,0,0,,,
,P42224,STAT1,"Signal transducer and activator of transcription 1-alpha/beta",,"STAT1_HUMAN, STAT1","Cytoplasm, Nucleus","P42224 STAT1_HUMAN Signal transducer and activator of transcription 1-alpha/beta P42224,A8K989,B2RCA0,D2KFR8,D3DPI7,Q53S88,Q53XW4,Q68D00,Q9UDL5 Transcription factor ISGF-3 components p91/p84 ","axon, cytoplasm, cytosol, dendrite, nuclear chromatin, nucleolus, nucleoplasm, nucleus, perinuclear region of cytoplasm, protein-containing complex","transcription factor STAT family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=STAT1_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P42224/,,,,4,0,4,2,50,4,100,0.4,84,1,222,1,1,83,1,1,,,
,P52630,STAT2,"Signal transducer and activator of transcription 2",,"STAT2_HUMAN, STAT2","Cytoplasm, Nucleus","P52630 STAT2_HUMAN Signal transducer and activator of transcription 2 P52630,B4DLC7,G3V2M6,Q16430,Q16431,Q9UDL4 p113 ","cytosol, nuclear chromatin, nucleoplasm, nucleus, plasma membrane","transcription factor STAT family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=STAT2_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P52630/,,,,3,0,3,2,67,3,100,-1.65,62,,,,,,,,,,
,P40763,STAT3,"Signal transducer and activator of transcription 3",,"STAT3_HUMAN, STAT3, APRF","Cytoplasm, Nucleus","P40763 STAT3_HUMAN Signal transducer and activator of transcription 3 P40763,A8K7B8,K7ENL3,O14916,Q9BW54 Acute-phase response factor APRF","cytoplasm, cytosol, glutamatergic synapse, mitochondrial inner membrane, nuclear chromatin, nucleoplasm, nucleus, plasma membrane, postsynaptic density, rna polymerase ii transcription regulator complex, transcription regulator complex","transcription factor STAT family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=STAT3_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P40763/,,,,7,4,5,4,80,5,100,2.05,97,1,1050,6,1,299,2,1,,,
,P42229,STAT5A,"Signal transducer and activator of transcription 5A",,"STA5A_HUMAN, STAT5A, STAT5","Cytoplasm, Nucleus","P42229 STA5A_HUMAN Signal transducer and activator of transcription 5A P42229,Q1KLZ6  STAT5","cytosol, nuclear chromatin, nucleoplasm, nucleus","transcription factor STAT family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=STA5A_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P42229/,,,,0,0,0,0,0,0,0,-1.35,65,1,68,2,1,34,2,1,,,
,P51692,STAT5B,"Signal transducer and activator of transcription 5B",,"STA5B_HUMAN, STAT5B","Cytoplasm, Nucleus","P51692 STA5B_HUMAN Signal transducer and activator of transcription 5B P51692,Q8WWS8  ","cytoplasm, cytosol, nuclear chromatin, nucleoplasm, nucleus","transcription factor STAT family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=STA5B_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P51692/,,,,2,0,2,2,100,2,100,-1.05,68,1,68,4,3,28,3,2,,,
,P42226,STAT6,"Signal transducer and activator of transcription 6",,"STAT6_HUMAN, STAT6","Cytoplasm, Nucleus","P42226 STAT6_HUMAN Signal transducer and activator of transcription 6 P42226,A8K316,B7ZA27,F5GXI9,Q5FBW5,Q71UP4 IL-4 Stat ","cytosol, membrane raft, nuclear chromatin, nucleoplasm, nucleus","transcription factor STAT family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=STAT6_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P42226/,,,,6,0,4,3,75,3,75,0.7,87,1,120,37,34,37,9,8,,,
,O60806,TBX19,"T-box transcription factor TBX19",,"TBX19_HUMAN, TBX19, TPIT",Nucleus,"O60806 TBX19_HUMAN T-box transcription factor TBX19 O60806,Q52M53 T-box factor, pituitary TPIT","nuclear chromatin",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=TBX19_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/O60806/,,,,0,0,0,0,0,0,0,0.05,80,,,,,,,,,,
,O15119,TBX3,"T-box transcription factor TBX3",,"TBX3_HUMAN, TBX3",Nucleus,"O15119 TBX3_HUMAN T-box transcription factor TBX3 O15119,Q8TB20,Q9UKF8  ","nuclear chromatin, nucleus",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=TBX3_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/O15119/,,,,1,0,1,1,100,1,100,-1.6,63,,,,,,,,,,
,Q99081,TCF12,"Transcription factor 12",,"HTF4_HUMAN, TCF12, BHLHB20, HEB, HTF4",Nucleus,"Q99081 HTF4_HUMAN Transcription factor 12 Q99081,B4E1W1,Q7Z3D9,Q86TC1,Q86VM2 Class B basic helix-loop-helix protein 20, DNA-binding protein HTF4, E-box-binding protein, Transcription factor HTF-4 BHLHB20, HEB, HTF4","cytoplasm, intracellular membrane-bounded organelle, nuclear chromatin, nuclear speck, nucleoplasm, nucleus, rna polymerase ii transcription regulator complex, transcription regulator complex",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=HTF4_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q99081/,,,,2,0,0,0,0,0,0,-1.85,60,,,,,,,,,,
,P15923,TCF3,"Transcription factor E2-alpha",,"TFE2_HUMAN, TCF3, BHLHB21, E2A, ITF1",Nucleus,"P15923 TFE2_HUMAN Transcription factor E2-alpha P15923,P15883,Q14208,Q14635,Q14636,Q2TB39,Q2TB40,Q9UPI9 Class B basic helix-loop-helix protein 21, Immunoglobulin enhancer-binding factor E12/E47, Immunoglobulin transcription factor 1, Kappa-E2-binding factor, Transcription factor 3, Transcription factor ITF-1 BHLHB21, E2A, ITF1","cytoplasm, nuclear chromatin, nuclear euchromatin, nucleoplasm, nucleus, protein-containing complex, rna polymerase ii transcription regulator complex, transcription regulator complex",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=TFE2_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P15923/,,,,5,0,5,0,0,0,0,-3,59,,,,,,,,,,
,P15884,TCF4,"Transcription factor 4",,"ITF2_HUMAN, TCF4, BHLHB19, ITF2, SEF2",Nucleus,"P15884 ITF2_HUMAN Transcription factor 4 P15884,B3KT62,B3KUC0,B4DT37,B4DUG3,B7Z5M6,B7Z6Y1,G0LNT9,G0LNU0,G0LNU1,G0LNU2,G0LNU4,G0LNU5,G0LNU8,G0LNU9,G0LNV0,G0LNV1,G0LNV2,H3BPQ1,Q08AP2,Q08AP3,Q15439,Q15440,Q15441 Class B basic helix-loop-helix protein 19, Immunoglobulin transcription factor 2, SL3-3 enhancer factor 2 BHLHB19, ITF2, SEF2","beta-catenin-tcf complex, beta-catenin-tcf7l2 complex, nuclear chromatin, nucleus, transcription regulator complex",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=ITF2_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P15884/,,,,4,0,3,0,0,1,34,-3,59,,,,,,,,,,
,P36402,TCF7,"Transcription factor 7",,"TCF7_HUMAN, TCF7, TCF1",Nucleus,"P36402 TCF7_HUMAN Transcription factor 7 P36402,B3KSH3,Q86WR9,Q9UKI4 T-cell-specific transcription factor 1 TCF1","nuclear body, nuclear euchromatin, nucleoplasm, nucleus, transcription regulator complex","TCF/LEF family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=TCF7_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P36402/,,,,0,0,0,0,0,0,0,-3,59,1,1,0,0,1,0,0,,,
,Q9HCS4,TCF7L1,"Transcription factor 7-like 1",,"TF7L1_HUMAN, TCF7L1, TCF3",Nucleus,"Q9HCS4 TF7L1_HUMAN Transcription factor 7-like 1 Q9HCS4,Q53R97,Q6PD70,Q9NP00 HMG box transcription factor 3 TCF3","cytosol, nucleoplasm, nucleus, transcription regulator complex","TCF/LEF family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=TF7L1_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q9HCS4/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
